Local authority,Spend 2007-11,Spend 2012-15,Notes,Location
Aberdeen,"1,779,558",,Funded by Police Scotland who spend around £3m per annum nationally on CCTV,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-2.083582,57.086079 -2.06892,57.097914 -2.07138,57.103909 -2.037712,57.103923 -2.016603,57.125081 -2.016305,57.145568 -2.04635,57.158386 -2.042695,57.178541 -2.071217,57.178861 -2.057468,57.212013 -2.126589,57.227619 -2.141574,57.211447 -2.159082,57.214091 -2.172879,57.210409 -2.200266,57.223026 -2.203692,57.231682 -2.225786,57.22848 -2.239651,57.235616 -2.260183,57.228746 -2.273431,57.234548 -2.278096,57.201392 -2.293412,57.197859 -2.25264,57.15864 -2.271236,57.14461 -2.275717,57.12911 -2.302624,57.123551 -2.349593,57.135755 -2.359466,57.111409 -2.329378,57.101664 -2.282567,57.103611 -2.278237,57.097624 -2.289184,57.088605 -2.315424,57.080213 -2.30591,57.076406 -2.268619,57.07949 -2.257718,57.095336 -2.233539,57.094551 -2.220425,57.101903 -2.177297,57.107301 -2.169982,57.114307 -2.12438,57.118691 -2.116942,57.09055 -2.083582,57.086079 </coordinates></LinearRing></outerBoundaryIs></Polygon>"
Aberdeenshire,"193,000",,Funded by Police Scotland who spend around £3m per annum nationally on CCTV,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-2.057468,57.212013 -1.972664,57.321618 -1.920571,57.350577 -1.908825,57.365392 -1.857262,57.387663 -1.855642,57.407314 -1.825663,57.416937 -1.831838,57.416612 -1.813569,57.427745 -1.817854,57.435413 -1.79586,57.447371 -1.798605,57.453871 -1.769458,57.470143 -1.792875,57.483675 -1.773622,57.496633 -1.780767,57.491482 -1.790336,57.494996 -1.789055,57.502489 -1.773276,57.502461 -1.770213,57.497459 -1.762752,57.503108 -1.770741,57.51195 -1.795458,57.519487 -1.803142,57.529493 -1.798965,57.557134 -1.8138,57.564651 -1.823942,57.582486 -1.816958,57.61462 -1.876481,57.633846 -1.913651,57.672682 -1.939118,57.685687 -1.95561,57.6772 -1.984832,57.679705 -1.996335,57.684203 -1.993224,57.692031 -2.002244,57.699359 -2.039566,57.69319 -2.073174,57.701669 -2.107385,57.69848 -2.116417,57.701803 -2.154286,57.681944 -2.159584,57.684769 -2.174149,57.674424 -2.190302,57.672069 -2.210243,57.680198 -2.26933,57.682085 -2.295259,57.697016 -2.3238,57.688452 -2.324017,57.677959 -2.345713,57.670907 -2.358827,57.676866 -2.394492,57.668932 -2.42595,57.674493 -2.445475,57.669596 -2.49279,57.67475 -2.50977,57.666355 -2.521982,57.672634 -2.559924,57.673804 -2.572518,57.683908 -2.5799,57.678877 -2.596448,57.683131 -2.634973,57.681278 -2.66531,57.690949 -2.683215,57.683858 -2.712625,57.693023 -2.739799,57.683373 -2.748058,57.691819 -2.775774,57.693484 -2.785581,57.701085 -2.799787,57.696333 -2.801599,57.665676 -2.770812,57.650211 -2.786435,57.625631 -2.809065,57.610165 -2.79065,57.605285 -2.774072,57.584402 -2.74576,57.579909 -2.747994,57.567903 -2.718479,57.564411 -2.70698,57.530831 -2.694912,57.531231 -2.694723,57.537562 -2.684225,57.539284 -2.651311,57.534628 -2.648129,57.529815 -2.691229,57.516595 -2.693543,57.508088 -2.706604,57.511346 -2.716307,57.501132 -2.740505,57.504323 -2.758963,57.51404 -2.757271,57.522045 -2.787009,57.508539 -2.81543,57.520184 -2.819484,57.535314 -2.83195,57.538731 -2.86488,57.529848 -2.884457,57.532711 -2.884822,57.522215 -2.918171,57.506487 -2.915107,57.495349 -2.971143,57.496929 -2.988417,57.472144 -3.009782,57.462148 -3.018401,57.449753 -3.009255,57.442997 -2.954157,57.438762 -3.00525,57.420876 -3.022417,57.405414 -2.987677,57.398862 -2.952886,57.377976 -2.982105,57.363594 -2.968225,57.351542 -2.970695,57.328371 -2.950424,57.318531 -2.975157,57.299187 -2.971497,57.288722 -2.982592,57.277975 -3.016726,57.26671 -3.017514,57.261873 -3.042283,57.278994 -3.052637,57.275409 -3.09104,57.284576 -3.108665,57.277426 -3.117718,57.281843 -3.127082,57.276263 -3.141593,57.278131 -3.163549,57.262439 -3.183265,57.263754 -3.194971,57.254981 -3.207002,57.256365 -3.243573,57.219696 -3.24115,57.202396 -3.256712,57.199742 -3.264206,57.203498 -3.278178,57.190364 -3.312311,57.19251 -3.351992,57.17843 -3.355251,57.166901 -3.340159,57.156568 -3.347829,57.148324 -3.321148,57.130617 -3.334844,57.111149 -3.354413,57.110439 -3.376609,57.098037 -3.408763,57.098513 -3.421275,57.105535 -3.447702,57.092405 -3.484825,57.094803 -3.492205,57.088052 -3.515401,57.086608 -3.537001,57.091009 -3.551348,57.082836 -3.558729,57.083744 -3.556208,57.096602 -3.574783,57.094371 -3.591797,57.084328 -3.618975,57.090143 -3.631943,57.08581 -3.644919,57.088639 -3.655657,57.068674 -3.663611,57.068735 -3.682254,57.095474 -3.704628,57.089507 -3.71364,57.079222 -3.748391,57.076577 -3.75662,57.069465 -3.745681,57.057956 -3.73096,57.056994 -3.756051,57.037986 -3.743143,57.016842 -3.746925,56.9933 -3.758865,56.97464 -3.786394,56.963421 -3.800323,56.936066 -3.78204,56.923333 -3.739265,56.933765 -3.723941,56.91865 -3.708789,56.913694 -3.682108,56.916388 -3.674003,56.932656 -3.653302,56.933098 -3.644335,56.923221 -3.581917,56.93119 -3.557177,56.900515 -3.566988,56.894894 -3.559242,56.884329 -3.536143,56.892445 -3.527873,56.883717 -3.50124,56.887372 -3.488344,56.876865 -3.464156,56.872986 -3.444791,56.87571 -3.428478,56.886726 -3.419999,56.879826 -3.403427,56.884178 -3.37083,56.874878 -3.335687,56.896082 -3.309553,56.897358 -3.283416,56.907457 -3.289526,56.925719 -3.282929,56.928785 -3.26862,56.920102 -3.231085,56.917979 -3.196893,56.905984 -3.178321,56.905994 -3.172365,56.900552 -3.171031,56.906562 -3.158865,56.907008 -3.13154,56.889435 -3.118731,56.888551 -3.105231,56.895167 -3.109285,56.918952 -3.093236,56.932586 -3.097273,56.945544 -3.082186,56.95084 -3.081804,56.958672 -3.046574,56.963636 -3.024875,56.972977 -3.005802,56.966969 -2.997062,56.97087 -2.952435,56.967053 -2.943156,56.973953 -2.908739,56.97604 -2.911321,56.981851 -2.891004,56.986995 -2.849488,56.972792 -2.831592,56.977243 -2.823023,56.962141 -2.781752,56.957076 -2.76352,56.96002 -2.738599,56.948676 -2.723223,56.925946 -2.685252,56.915166 -2.679281,56.888214 -2.66776,56.890608 -2.659459,56.885822 -2.66903,56.842462 -2.64954,56.822743 -2.651152,56.810574 -2.630174,56.809183 -2.614572,56.783608 -2.589462,56.78856 -2.554841,56.787053 -2.542321,56.781778 -2.528716,56.785334 -2.478673,56.763882 -2.460581,56.747792 -2.418828,56.755435 -2.393254,56.774674 -2.372911,56.773071 -2.355445,56.786781 -2.311543,56.799225 -2.28656,56.827435 -2.273497,56.827464 -2.272691,56.841957 -2.259026,56.843819 -2.230874,56.862363 -2.211837,56.883884 -2.214334,56.894873 -2.194929,56.909063 -2.19727,56.948869 -2.189362,56.952046 -2.202861,56.968015 -2.173643,56.980552 -2.178856,56.986208 -2.158854,57.017882 -2.090575,57.068252 -2.094259,57.074079 -2.083582,57.086079 -2.116942,57.09055 -2.12438,57.118691 -2.169982,57.114307 -2.177297,57.107301 -2.220425,57.101903 -2.233539,57.094551 -2.257718,57.095336 -2.268619,57.07949 -2.30591,57.076406 -2.315424,57.080213 -2.289184,57.088605 -2.278237,57.097624 -2.282567,57.103611 -2.329378,57.101664 -2.359466,57.111409 -2.349593,57.135755 -2.302624,57.123551 -2.275717,57.12911 -2.271236,57.14461 -2.25264,57.15864 -2.293412,57.197859 -2.278096,57.201392 -2.273431,57.234548 -2.260183,57.228746 -2.239651,57.235616 -2.225786,57.22848 -2.203692,57.231682 -2.200266,57.223026 -2.172879,57.210409 -2.159082,57.214091 -2.141574,57.211447 -2.126589,57.227619 -2.057468,57.212013</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Angus,"1,426,316","349,328",,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-3.003628,56.499225 -2.968263,56.494341 -2.96691,56.500349 -2.947921,56.499829 -2.94562,56.504178 -2.941613,56.500543 -2.920882,56.502698 -2.916822,56.49673 -2.895059,56.493391 -2.861094,56.496296 -2.859201,56.492478 -2.83692,56.49263 -2.844126,56.478088 -2.830671,56.468517 -2.811993,56.467641 -2.825958,56.473213 -2.807069,56.476669 -2.726415,56.461841 -2.701812,56.498298 -2.690973,56.498525 -2.629094,56.526673 -2.607429,56.54777 -2.537119,56.566084 -2.534234,56.575425 -2.518626,56.581655 -2.514861,56.593331 -2.49119,56.607419 -2.476917,56.625298 -2.499386,56.633372 -2.493731,56.663212 -2.481736,56.671421 -2.464781,56.670486 -2.43714,56.687244 -2.432757,56.700918 -2.444009,56.705043 -2.44348,56.711541 -2.418828,56.755435 -2.460581,56.747792 -2.478673,56.763882 -2.528716,56.785334 -2.542321,56.781778 -2.554841,56.787053 -2.589462,56.78856 -2.614572,56.783608 -2.630174,56.809183 -2.651152,56.810574 -2.64954,56.822743 -2.66903,56.842462 -2.659459,56.885822 -2.66776,56.890608 -2.679281,56.888214 -2.685252,56.915166 -2.723223,56.925946 -2.738599,56.948676 -2.76352,56.96002 -2.781752,56.957076 -2.823023,56.962141 -2.831592,56.977243 -2.849488,56.972792 -2.891004,56.986995 -2.911321,56.981851 -2.908739,56.97604 -2.943156,56.973953 -2.952435,56.967053 -2.997062,56.97087 -3.005802,56.966969 -3.024875,56.972977 -3.046574,56.963636 -3.081804,56.958672 -3.082186,56.95084 -3.097273,56.945544 -3.093236,56.932586 -3.109285,56.918952 -3.105231,56.895167 -3.118731,56.888551 -3.13154,56.889435 -3.158865,56.907008 -3.171031,56.906562 -3.172365,56.900552 -3.178321,56.905994 -3.196893,56.905984 -3.231085,56.917979 -3.26862,56.920102 -3.282929,56.928785 -3.289526,56.925719 -3.283416,56.907457 -3.309553,56.897358 -3.335687,56.896082 -3.37083,56.874878 -3.377019,56.861149 -3.405553,56.843506 -3.391234,56.842667 -3.350311,56.820461 -3.365252,56.813635 -3.356116,56.804572 -3.388219,56.769402 -3.376408,56.753373 -3.356494,56.747761 -3.362522,56.738366 -3.347655,56.729532 -3.35148,56.726325 -3.330311,56.710394 -3.313943,56.710068 -3.305514,56.702826 -3.300703,56.695047 -3.307195,56.690148 -3.282559,56.67791 -3.283054,56.665744 -3.262952,56.67078 -3.211325,56.655467 -3.149858,56.653218 -3.15182,56.638207 -3.176535,56.63581 -3.16989,56.626211 -3.189705,56.622025 -3.179544,56.615958 -3.159403,56.619312 -3.151689,56.614053 -3.148492,56.608252 -3.164517,56.598941 -3.142075,56.595817 -3.10879,56.614109 -3.090451,56.61727 -3.086712,56.613305 -3.103763,56.607491 -3.096551,56.598392 -3.131313,56.579256 -3.188706,56.561396 -3.162656,56.538319 -3.171635,56.526407 -3.210755,56.524366 -3.183117,56.507973 -3.190205,56.503408 -3.162107,56.490846 -3.140632,56.487713 -3.142203,56.479869 -3.11743,56.476929 -3.118063,56.467761 -3.087947,56.467029 -3.096431,56.479449 -3.072193,56.484658 -3.049556,56.482686 -3.050554,56.497004 -3.030227,56.502672 -3.003628,56.499225</coordinates></LinearRing></outerBoundaryIs></Polygon>"
